,id,site,cv,size,err
0,P0007,c,loos,50.0,6.91904591658
1,P0007,c,loos,100.0,6.22174814724
2,P0007,c,loos,200.0,5.84072199774
3,P0007,c,loos,300.0,5.72565294838
4,P0007,c,loos,400.0,5.70456898863
5,P0007,c,loos,500.0,5.8537882194
6,P0007,c,loos,600.0,6.17584272979
7,P0007,c,loos,700.0,6.3004606556
8,P0007,c,loos,800.0,6.78961169808
9,P0007,c,loos,900.0,6.63542466211
10,P0007,i,rand,50.0,4.62459530068
11,P0007,i,rand,100.0,4.7443200965
12,P0007,i,rand,200.0,4.43323839336
13,P0007,i,rand,300.0,4.26142550583
14,P0007,i,rand,400.0,4.29460998987
15,P0007,i,rand,500.0,4.67478189728
16,P0007,i,rand,600.0,5.23721664987
17,P0007,i,rand,700.0,5.07192005529
18,P0007,i,rand,800.0,5.41981779918
19,P0007,i,rand,900.0,5.14570787437
20,P0008,c,loos,50.0,2.42408017871
21,P0008,c,loos,100.0,2.34536325216
22,P0008,c,loos,200.0,1.31761958278
23,P0008,c,loos,300.0,0.813772196238
24,P0008,c,loos,400.0,0.673280109077
25,P0008,c,loos,500.0,0.547516826359
26,P0008,c,loos,600.0,0.409157284138
27,P0008,c,loos,700.0,0.273198574224
28,P0008,c,loos,800.0,0.224253230796
29,P0008,c,loos,900.0,0.217856595311
30,P0008,i,rand,50.0,1.95587481909
31,P0008,i,rand,100.0,1.48203471957
32,P0008,i,rand,200.0,0.802965751457
33,P0008,i,rand,300.0,0.554131181599
34,P0008,i,rand,400.0,0.573728701708
35,P0008,i,rand,500.0,0.350692470906
36,P0008,i,rand,600.0,0.25660012499
37,P0008,i,rand,700.0,0.252532480985
38,P0008,i,rand,800.0,0.14845469645
39,P0008,i,rand,900.0,0.14273449223
40,P0009,c,loos,50.0,3.9247901317
41,P0009,c,loos,100.0,3.0243868129
42,P0009,c,loos,200.0,2.98706838454
43,P0009,c,loos,300.0,2.91841746325
44,P0009,c,loos,400.0,3.56356045365
45,P0009,c,loos,500.0,3.43783448621
46,P0009,c,loos,600.0,3.48941128724
47,P0009,c,loos,700.0,3.18888110301
48,P0009,c,loos,800.0,3.57841418553
49,P0009,c,loos,900.0,3.41018583659
50,P0009,d,rand,50.0,2.72714567883
51,P0009,d,rand,100.0,2.10485775344
52,P0009,d,rand,200.0,1.9085706756
53,P0009,d,rand,300.0,2.04054393025
54,P0009,d,rand,400.0,1.62253022418
55,P0009,d,rand,500.0,1.35616031796
56,P0009,d,rand,600.0,1.74361410647
57,P0009,d,rand,700.0,1.36397024125
58,P0009,d,rand,800.0,1.56805534457
59,P0009,d,rand,900.0,1.39939072325
